title,price_text,price,location,date,url,image,year,mileage_km,fuel,gearbox,brand,model,_errors
Renault CLIO III (2) 1.5 DCI 90CH EXPRESSION CLIM ECO² 5P,5990 EUR,5990,,,https://www.leboncoin.fr/ad/voitures/2976429510,https://img.leboncoin.fr/api/v1/lbcpb1/images/42/1b/2b/421b2ba67d11347776fade7a265d2b783908122c.jpg?rule=ad-image,2012,34000,,Manuelle,RENAULT,Clio,
CITROËN DS3 PHASE II 1.2 vti 82 CV SO& SCHIC 4 FOIS SANS FRAIS GPS/CAMERA/CLIM…,6490 EUR,6490,,,https://www.leboncoin.fr/ad/voitures/3029821656,https://img.leboncoin.fr/api/v1/lbcpb1/images/27/12/4a/27124abb2589afd87265f4cc772b90665b69995b.jpg?rule=ad-image,2016,99980,,Manuelle,CITROEN,DS3,
Clio 4,6000 EUR,6000,,,https://www.leboncoin.fr/ad/voitures/3042962562,https://img.leboncoin.fr/api/v1/lbcpb1/images/a6/a5/50/a6a5502d51242eca9b9d991fa5d67c817c2530a8.jpg?rule=ad-image,2014,157000,,Manuelle,RENAULT,Clio,
Renault Clio IV ESTATE 1.2 16V 75 Life,5700 EUR,5700,,,https://www.leboncoin.fr/ad/voitures/3036388945,https://img.leboncoin.fr/api/v1/lbcpb1/images/9d/03/08/9d030844b33a60ef0eda7b40abc234002a4625fd.jpg?rule=ad-image,2014,153199,,Manuelle,RENAULT,Clio,
Clio 4 2014 5 place 90cv 5950e,5950 EUR,5950,,,https://www.leboncoin.fr/ad/voitures/3041915351,https://img.leboncoin.fr/api/v1/lbcpb1/images/0d/83/fd/0d83fd5d5f176d130045436fb4630d5f3af9e109.jpg?rule=ad-image,2014,167000,,Manuelle,RENAULT,Clio,
Clio 3 phase 2 1.5 dCi 75Cv toit ouvrant,5300 EUR,5300,,,https://www.leboncoin.fr/ad/voitures/3041375101,https://img.leboncoin.fr/api/v1/lbcpb1/images/16/c9/d3/16c9d3d19c9abdbe1b3c51a677122aa36ee8e526.jpg?rule=ad-image,2011,175000,,Manuelle,RENAULT,Clio,
Clio 4,6000 EUR,6000,,,https://www.leboncoin.fr/ad/voitures/3040819554,https://img.leboncoin.fr/api/v1/lbcpb1/images/bd/11/52/bd1152fd7292e080fe6448916ea9c03f58192799.jpg?rule=ad-image,2013,203000,,Manuelle,RENAULT,Clio,
Renault Clio 4 1.5 Dci,6049 EUR,6049,,,https://www.leboncoin.fr/ad/voitures/3040451529,https://img.leboncoin.fr/api/v1/lbcpb1/images/d1/1a/b5/d11ab50eb8dcd2745661a33765ff227b15b26fb7.jpg?rule=ad-image,2016,205000,,Manuelle,RENAULT,Clio,
Clio 4,6250 EUR,6250,,,https://www.leboncoin.fr/ad/voitures/3040365603,https://img.leboncoin.fr/api/v1/lbcpb1/images/11/55/ec/1155ecbe958b53722519df958d03881d4fd0096f.jpg?rule=ad-image,2014,199000,,Manuelle,RENAULT,Clio,
Clio 4,5990 EUR,5990,,,https://www.leboncoin.fr/ad/voitures/3040257336,https://img.leboncoin.fr/api/v1/lbcpb1/images/d0/1a/ec/d01aec988b62954c5f2870535e1ccf4492b10b6c.jpg?rule=ad-image,2016,279000,,Manuelle,RENAULT,Clio,
Peugeot 208 féline,6000 EUR,6000,,,https://www.leboncoin.fr/ad/voitures/3008813325,https://img.leboncoin.fr/api/v1/lbcpb1/images/32/f8/b9/32f8b9778a558d504042198f32597beaab3104ec.jpg?rule=ad-image,2013,221000,,Manuelle,PEUGEOT,208,
Renault clio 4 0.9 tce 90 dynamique,6500 EUR,6500,,,https://www.leboncoin.fr/ad/voitures/3040112906,https://img.leboncoin.fr/api/v1/lbcpb1/images/7e/e6/a7/7ee6a74fc0d0c584cab005cb16aae8cc14f814da.jpg?rule=ad-image,2014,207853,,Manuelle,RENAULT,Clio,
Clio 4,5700 EUR,5700,,,https://www.leboncoin.fr/ad/voitures/3038847962,https://img.leboncoin.fr/api/v1/lbcpb1/images/3d/20/c8/3d20c89fb74b6271aa5dbdd3a6408e25fce7714b.jpg?rule=ad-image,2014,189000,,Manuelle,RENAULT,Clio,
Clio 4 - CarPlay,6290 EUR,6290,,,https://www.leboncoin.fr/ad/voitures/3038830067,https://img.leboncoin.fr/api/v1/lbcpb1/images/e6/66/71/e66671bab9949187240b27e224f737352a4427c2.jpg?rule=ad-image,2013,140000,,Manuelle,RENAULT,Clio,
Clio 4,5900 EUR,5900,,,https://www.leboncoin.fr/ad/voitures/3038065695,https://img.leboncoin.fr/api/v1/lbcpb1/images/ee/23/00/ee23009304c0e0b1c562a924ef81ac7b10762eac.jpg?rule=ad-image,2015,140000,,Manuelle,RENAULT,Clio,
Clio 4,6900 EUR,6900,,,https://www.leboncoin.fr/ad/voitures/3037244678,https://img.leboncoin.fr/api/v1/lbcpb1/images/db/64/8f/db648f3b848a13db37865a446b08c9ca2ec03b88.jpg?rule=ad-image,2018,150000,,Manuelle,RENAULT,Clio,
